Serial,Word,PartOfSpeech,LetterCount
0,It,Pronoun,2
1,was,Verb,3
2,Monday,Noun,6
3,morning.,Noun,7
4,Swaminathan,Noun,11
5,was,Verb,3
6,reluctant,Adjective,9
7,to,Preposition,2
8,open,Verb,4
9,his,Pronoun,3
10,eyes.,Noun,4
11,He,Pronoun,2
12,considered,Verb,10
13,Monday,Noun,6
14,specially,Adverb,9
15,unpleasant,Adjective,10
16,in,Preposition,2
17,the,Article,3
18,calendar.,Noun,8
19,After,Preposition,5
20,the,Article,3
21,delicious,Adjective,9
22,freedom,Noun,7
23,of,Preposition,2
24,Saturday,Noun,8
25,And,Conjunction,3
26,"Sunday,",Noun,6
27,it,Pronoun,2
28,was,Verb,3
29,difficult,Adjective,9
30,to,Preposition,2
31,get,Verb,3
32,into,Preposition,4
33,the,Article,3
34,Monday,Noun,6
35,mood,Noun,4
36,of,Preposition,2
37,work,Noun,4
38,and,Conjunction,3
39,discipline.,Noun,10
40,He,Pronoun,2
41,shuddered,Verb,9
42,at,Preposition,2
43,the,Article,3
44,very,Adverb,4
45,thought,Noun,7
46,of,Preposition,2
47,school:,Noun,6
48,the,Article,3
49,dismal,Adjective,6
50,yellow,Adjective,6
51,building;,Noun,8
52,the,Article,3
53,fire-eyed,Adjective,8
54,"Vedanayagam,",Noun,11
55,his,Pronoun,3
56,class,Noun,5
57,"teacher,",Noun,7
58,and,Conjunction,3
59,headmaster,Noun,10
60,with,Preposition,4
61,his,Pronoun,3
62,thin,Adjective,4
63,long,Adjective,4
64,cane...,Noun,4
